"","team","score","seed"
"1","Wichita State","64",1
"2","Cal Poly","37",16
"3","Kentucky","56",8
"4","Kansas State","49",9
"5","Saint Louis","83",5
"6","North Carolina State","80",12
"7","Louisville","71",4
"8","Manhattan","64",13
"9","UMass","67",6
"10","Tennessee","86",11
"11","Duke","71",3
"12","Mercer","78",14
"13","Texas","87",7
"14","Arizona State","85",10
"15","Michigan","57",2
"16","Wofford","40",15
"17","Arizona","68",1
"18","Weber State","59",16
"19","Gonzaga","85",8
"20","Oklahoma State","77",9
"21","Oklahoma","75",5
"22","North Dakota State","80",12
"23","San Diego State","73",4
"24","New Mexico State","69",13
"25","Baylor","74",6
"26","Nebraska","60",11
"27","Creighton","76",3
"28","Louisiana-Lafayette","66",14
"29","Oregon","87",7
"30","BYU","68",10
"31","Wisconsin","75",2
"32","American","35",15
"33","Virginia","70",1
"34","Coastal Carolina","59",16
"35","Memphis","71",8
"36","George Washington","66",9
"37","Cincinnati","57",5
"38","Harvard","61",12
"39","Michigan State","93",4
"40","Delaware","78",13
"41","UNC","79",6
"42","Providence","77",11
"43","Iowa State","93",3
"44","North Carolina Central","75",14
"45","UConn","89",7
"46","St. Joseph's","81",10
"47","Villanova","73",2
"48","Milwaukee","53",15
"49","Florida","67",1
"50","Albany (NY)","55",16
"51","Colorado","48",8
"52","Pitt","77",9
"53","VCU","75",5
"54","Stephen F. Austin","77",12
"55","UCLA","76",4
"56","Tulsa","59",13
"57","Ohio State","59",6
"58","Dayton","60",11
"59","Syracuse","77",3
"60","Western Michigan","53",14
"61","New Mexico","53",7
"62","Stanford","58",10
"63","Kansas","80",2
"64","Eastern Kentucky","69",15
