"","team","score","seed"
"1","UNC","113",1
"2","Mount St. Mary's","74",16
"3","Indiana","72",8
"4","Arkansas","86",9
"5","Notre Dame","68",5
"6","George Mason","50",12
"7","Washington State","71",4
"8","Winthrop","40",13
"9","Oklahoma","72",6
"10","St. Joseph's","64",11
"11","Louisville","79",3
"12","Boise State","61",14
"13","Butler","81",7
"14","South Alabama","61",10
"15","Tennessee","72",2
"16","American","57",15
"17","Kansas","85",1
"18","Portland State","61",16
"19","UNLV","71",8
"20","Kent State","58",9
"21","Clemson","69",5
"22","Villanova","75",12
"23","Vanderbilt","62",4
"24","Siena","83",13
"25","USC","67",6
"26","Kansas State","80",11
"27","Wisconsin","71",3
"28","Cal State Fullerton","56",14
"29","Gonzaga","76",7
"30","Davidson","82",10
"31","Georgetown","66",2
"32","UMBC","47",15
"33","Memphis","87",1
"34","Texas-Arlington","63",16
"35","Mississippi State","76",8
"36","Oregon","69",9
"37","Michigan State","72",5
"38","Temple","61",12
"39","Pitt","82",4
"40","Oral Roberts","63",13
"41","Marquette","74",6
"42","Kentucky","66",11
"43","Stanford","77",3
"44","Cornell","53",14
"45","Miami (FL)","78",7
"46","Saint Mary's (CA)","64",10
"47","Texas","74",2
"48","Austin Peay","54",15
"49","UCLA","70",1
"50","Mississippi Valley State","29",16
"51","BYU","62",8
"52","Texas A&M","67",9
"53","Drake","99",5
"54","Western Kentucky","101",12
"55","UConn","69",4
"56","San Diego","70",13
"57","Purdue","90",6
"58","Baylor","79",11
"59","Xavier","73",3
"60","Georgia","61",14
"61","West Virginia","75",7
"62","Arizona","65",10
"63","Duke","71",2
"64","Belmont","70",15
