"","team","seed","score","point_diff","result"
"1","Syracuse",1,72,7,1
"2","North Carolina-Asheville",16,65,-7,0
"3","Kansas State",8,70,6,1
"4","Southern Miss",9,64,-6,0
"5","Vanderbilt",5,79,9,1
"6","Harvard",12,70,-9,0
"7","Wisconsin",4,73,24,1
"8","Montana",13,49,-24,0
"9","Cincinnati",6,65,6,1
"10","Texas",11,59,-6,0
"11","Florida State",3,66,3,1
"12","St. Bonaventure",14,63,-3,0
"13","Gonzaga",7,77,23,1
"14","West Virginia",10,54,-23,0
"15","Ohio State",2,78,19,1
"16","Loyola (MD)",15,59,-19,0
"17","UNC",1,77,19,1
"18","Vermont",16,58,-19,0
"19","Creighton",8,58,1,1
"20","Alabama",9,57,-1,0
"21","Temple",5,44,-14,0
"22","South Florida",12,58,14,1
"23","Michigan",4,60,-5,0
"24","Ohio",13,65,5,1
"25","San Diego State",6,65,-14,0
"26","North Carolina State",11,79,14,1
"27","Georgetown",3,74,15,1
"28","Belmont",14,59,-15,0
"29","Saint Mary's (CA)",7,69,-3,0
"30","Purdue",10,72,3,1
"31","Kansas",2,65,15,1
"32","Detroit",15,50,-15,0
"33","Kentucky",1,81,15,1
"34","Western Kentucky",16,66,-15,0
"35","Iowa State",8,77,13,1
"36","UConn",9,64,-13,0
"37","Wichita State",5,59,-3,0
"38","VCU",12,62,3,1
"39","Indiana",4,79,13,1
"40","New Mexico State",13,66,-13,0
"41","UNLV",6,64,-4,0
"42","Colorado",11,68,4,1
"43","Baylor",3,68,8,1
"44","South Dakota State",14,60,-8,0
"45","Notre Dame",7,63,-4,0
"46","Xavier",10,67,4,1
"47","Duke",2,70,-5,0
"48","Lehigh",15,75,5,1
"49","Michigan State",1,89,22,1
"50","LIU-Brooklyn",16,67,-22,0
"51","Memphis",8,54,-7,0
"52","Saint Louis",9,61,7,1
"53","New Mexico",5,75,7,1
"54","Long Beach State",12,68,-7,0
"55","Louisville",4,69,7,1
"56","Davidson",13,62,-7,0
"57","Murray State",6,58,17,1
"58","Colorado State",11,41,-17,0
"59","Marquette",3,88,20,1
"60","BYU",14,68,-20,0
"61","Florida",7,71,26,1
"62","Virginia",10,45,-26,0
"63","Missouri",2,84,-2,0
"64","Norfolk State",15,86,2,1
