"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Duke",32.53,117,84.5,67.4,0.009
"2","Kansas",31.23,116.8,85.6,70.1,0.038
"3","Syracuse",26.96,114.5,87.5,71.8,-0.007
"4","Kentucky",25.93,110.9,85,71.5,0.06
"5","Kansas St.",24.9,111.9,87,73,-0.007
"6","West Virginia",24.88,113.1,88.2,66.1,0.058
"7","Ohio St.",24.47,113.6,89.1,67.2,0.008
"8","Baylor",24.36,115.2,90.8,68,-0.02
"9","Wisconsin",23.11,111.7,88.6,61.8,-0.011
"10","BYU",22.67,113.3,90.6,73.9,0.012
"11","Georgetown",22.05,112.8,90.7,68.8,-0.035
"12","Butler",21.93,107.2,85.3,66.1,0.033
"13","Maryland",21.78,113.7,91.9,72.1,-0.022
"14","California",21.57,115.6,94,69.9,-0.042
"15","Purdue",21.51,105.3,83.8,69.4,0.07
"16","Texas A&M",20.89,108,87.1,67.7,-0.005
"17","Villanova",20.67,112.8,92.2,74.2,0.025
"18","Xavier",20.49,111.4,90.9,71.6,0.01
"19","Texas",20.42,110.1,89.7,74.7,-0.015
"20","Michigan St.",19.69,108.7,89,68.2,0.028
"21","Temple",19.6,104.1,84.5,63.6,0.077
"22","Utah St.",19.59,112.3,92.7,63.3,-0.026
"23","Missouri",19.54,107.7,88.1,71.7,-0.035
"24","Marquette",19.27,111.4,92.1,65.5,-0.064
"25","Clemson",18.91,106.9,88,71.1,-0.041
"26","Dayton",18.56,104.5,85.9,69,-0.097
"27","Northern Iowa",18.45,105.8,87.4,61.8,0.034
"28","Pittsburgh",18.26,107.5,89.3,64.7,0.042
"29","Saint Mary's",18.2,112.9,94.7,68.5,0.038
"30","Tennessee",18.13,105.6,87.5,70.4,0.082
"31","Georgia Tech",17.85,105.5,87.6,71.4,-0.034
"32","Washington",17.75,107.8,90.1,74.4,0.028
"33","Florida St.",17.65,101,83.3,68.5,0.009
"34","Minnesota",17.62,108,90.4,68.3,-0.056
"35","Notre Dame",17.3,115,97.7,65.2,-0.067
"36","Vanderbilt",17.2,109.6,92.4,71.9,0.019
"37","Old Dominion",17.1,104.3,87.2,65,0.011
"38","Louisville",16.54,111.2,94.7,69.3,-0.038
"39","Oklahoma St.",16.44,109.4,92.9,69,0.011
"40","UTEP",16.21,104.2,88,71,0.024
"41","San Diego St.",16.14,107.3,91.1,66.2,0.006
"42","UNLV",16.05,106.7,90.6,69.3,-0.012
"43","New Mexico",15.8,109.8,94,70.1,0.096
"44","Gonzaga",15.78,108.3,92.5,70.6,0.079
"45","Cornell",15.63,113.4,97.7,66.7,0.067
"46","Mississippi St.",15.61,105.9,90.3,69.5,-0.049
"47","Virginia Tech",15.47,104.6,89.1,70.6,0.034
"48","Mississippi",15.38,108.6,93.2,72.3,-0.033
"49","Memphis",14.91,111.3,96.4,68.5,-0.038
"50","Florida",14.89,108.5,93.6,67.9,-0.061
"51","Connecticut",14.86,103.7,88.8,70.5,-0.077
"52","Richmond",14.78,105.3,90.5,65.8,0.047
"53","Arizona St.",14.77,106.3,91.5,63.8,-0.013
"54","Murray St.",14.58,104.9,90.4,68.8,-0.011
"55","Miami FL",14.56,108.4,93.8,68.5,-0.07
"56","VCU",14.16,109.9,95.7,70.2,-0.016
"57","Illinois",14.06,105.3,91.2,69.3,-0.029
"58","Wake Forest",13.9,104,90.1,71.5,0.068
"59","Siena",13.61,105.9,92.3,71.7,0.027
"60","Rhode Island",13.22,108.8,95.6,70.7,0.034
"61","North Carolina",13.15,104,90.9,73.5,-0.013
"62","UAB",12.47,100.8,88.3,66.6,0.017
"63","Alabama",12.2,104,91.8,67.5,-0.098
"64","Wichita St.",11.98,105,93,67.1,0.005
"65","Wright St.",11.82,105,93.2,64.8,-0.046
"66","Seton Hall",11.82,108.7,96.8,73,-0.008
"67","St. John's",11.67,102.7,91,67,-0.032
"68","Cincinnati",11.66,102.7,91,68.2,-0.013
"69","North Carolina St.",11.28,102.4,91.1,67.6,-0.007
"70","Michigan",11.23,103.6,92.4,64.2,-0.079
"71","Northeastern",11.18,102.5,91.4,63.6,-0.058
"72","Texas Tech",10.86,104.4,93.6,74.2,0.027
"73","Iowa St.",10.84,103.4,92.6,70.6,-0.08
"74","Missouri St.",10.64,108.2,97.5,67.1,-0.049
"75","Boston College",10.57,106.9,96.3,67.2,-0.085
"76","Virginia",10.48,104,93.6,64.9,-0.067
"77","USC",10.38,93.2,82.8,65.2,-0.044
"78","South Florida",10.23,104.1,93.8,66.5,0.062
"79","Portland",10.17,107,96.8,66.1,0.02
"80","Nevada",9.98,109,99,72,-0.03
"81","Marshall",9.96,106.4,96.4,71.4,0.023
"82","Wofford",9.9,101.1,91.2,66.8,-0.022
"83","Tulsa",9.67,103.6,93.9,69.2,0.023
"84","Northwestern",9.5,108.5,99,65.9,0.002
