"","team","seed","score","point_diff","result","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Albany (NY)",13,57,-27,0,23,10,0.697,-1.6,-4.75,2241,2147,1.04378202142524,NA,0.55,NA,NA,NA,NA,NA
"2","Arizona",8,63,-9,0,20,11,0.645,16.24,10.76,2417,2247,1.07565643079662,NA,0.57,18.97,115.2,96.2,70.6,-0.008
"3","Arkansas",12,60,-17,0,21,14,0.6,13.77,8.75,2487,2311,1.07615750757248,NA,0.551,16.3,105.8,89.5,69.2,-0.022
"4","Belmont",15,55,-25,0,23,10,0.697,-0.39,-4.71,2390,2128,1.12312030075188,NA,0.565,4.23,102.5,98.2,68.2,0.023
"5","Boston College",7,84,9,1,21,12,0.636,13.76,9.21,2453,2303,1.0651324359531,NA,0.573,15.79,112.8,97,67,0.026
"6","Butler",5,57,11,1,29,7,0.806,14.34,3.94,2434,2056,1.18385214007782,NA,0.569,20.93,113.1,92.2,61,0.015
"7","BYU",8,77,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.85,112.2,96.4,69.9,0.002
"8","Central Connecticut",16,57,-21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.28,99.4,101.7,66.7,0.061
"9","Creighton",10,71,-6,0,22,11,0.667,12.57,6.24,2220,2011,1.10392839383391,NA,0.555,18.2,110,91.8,64.7,-0.023
"10","Davidson",13,70,-12,0,29,5,0.853,8.31,-2.26,2765,2336,1.18364726027397,NA,0.559,13.04,107.6,94.6,74.2,0.067
"11","Duke",6,77,-2,0,22,11,0.667,18.85,10.49,2323,2047,1.13483146067416,NA,0.557,22.76,108.2,85.5,67.6,-0.073
"12","Eastern Kentucky",16,65,-21,0,21,12,0.636,-4.19,-5.28,2151,2089,1.02967927237913,NA,0.561,-2.49,98.4,100.8,64.2,0.077
"13","Florida",1,112,43,1,35,5,0.875,23.82,7.34,3193,2504,1.27515974440895,NA,0.618,30.18,118.5,88.4,68.3,0.029
"14","George Washington",11,44,-33,0,23,9,0.719,5.61,0.64,2247,2067,1.08708272859216,NA,0.538,7.11,100.7,93.5,69,0.09
"15","Georgetown",2,80,25,1,30,7,0.811,19.62,9.48,2555,2146,1.190587138863,NA,0.596,27.75,116.9,89.2,62.3,0.008
"16","Georgia Tech",10,63,-4,0,20,12,0.625,17.17,9.36,2515,2222,1.13186318631863,NA,0.567,19.19,112.7,93.5,70.2,-0.066
