"","team_X","team_Y","AdjEM_x-y","AdjO_x-y","AdjD_x-y","AdjT_x-y","luck_x-y","W_x-y","L_x-y","W_L_ratio_x-y","SRS_x-y","SOS_x-y","TM_pt_x-y","OPPO_pt_x-y","PT_Ratio_x-y","True_S_x-y","seed_x-y","point_diff_x-y","result"
"1","Ohio State","UTSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,29,"X"
"2","George Mason","Villanova",0.620000000000001,0.0999999999999943,-0.5,-1.2,0.068,6,-5,0.158,-3.39,-6.86,90,-35,0.06056851318311,0.016,-1,4,"X"
"3","West Virginia","Clemson",1.78,4.8,3,-1.09999999999999,0.07,-1,0,-0.011,2.39,4.45,-27,48,-0.03777627616969,-0.011,-7,8,"X"
"4","Kentucky","Princeton",16.32,10.3,-6,2.59999999999999,-0.134,4,2,-0.018,16.59,10.52,630,395,0.0813534788460599,-0.002,-9,2,"X"
"5","Xavier","Marquette",-2.03,-2.59999999999999,-0.5,-2.3,0.094,2,-7,0.155,-3.01,-4.1,-476,-479,0.02293208922921,0.011,-5,-11,"Y"
"6","Syracuse","Indiana State",NA,NA,NA,NA,NA,7,-6,0.183,15.44,5.89,315,24,0.13101629818968,0.02,-11,17,"X"
"7","Washington","Georgia",9.4,9.3,-0.0999999999999943,6.7,-0.096,3,-1,0.05,9.69,1.61,640,349,0.10819668077417,0.029,-3,3,"X"
"8","UNC","LIU-Brooklyn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,15,"X"
"9","Pitt","North Carolina-Asheville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,23,"X"
"10","Butler","Old Dominion",1.58,2.60000000000001,1,3.10000000000001,-0.025,1,3,-0.0570000000000001,2.5,3.26,476,453,-0.01370401041736,0.023,-1,2,"X"
"11","Kansas State","Utah State",NA,NA,NA,NA,NA,-7,7,-0.206,1.36,7.91,28,254,-0.12619053191003,-0.0379999999999999,-7,5,"X"
"12","Wisconsin","Belmont",7.18,9.60000000000001,2.40000000000001,-11.7,0.003,-5,4,-0.122,5.7,13.84,-480,-186,-0.12135318132032,-0.0169999999999999,-9,14,"X"
"13","St. John's (NY)","Gonzaga",NA,NA,NA,NA,NA,-4,2,-0.078,-0.76,6,-371,-96,-0.11728271986797,-0.0369999999999999,-5,-15,"Y"
"14","BYU","Wofford",14.78,5.40000000000001,-9.40000000000001,6.40000000000001,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,8,"X"
"15","UCLA","Michigan State",NA,NA,NA,NA,NA,4,-4,0.117,-2,-3.74,44,-9,0.0236460854587199,0.013,-3,2,"X"
"16","Florida","UCSB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,28,"X"
"17","Kansas","Boston University",28.48,17,-11.5,5.10000000000001,0.015,14,-11,0.321,26.58,11.47,814,236,0.23307644027218,0.076,-15,19,"X"
"18","UNLV","Illinois",-2.26,-2.60000000000001,-0.299999999999997,1,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-11,"Y"
"19","Vanderbilt","Richmond",1.17,3.40000000000001,2.09999999999999,4.2,-0.103,-6,3,-0.108,3.87,4.07,4,36,-0.01606212098972,0.0159999999999999,-7,-3,"Y"
"20","Louisville","Morehead State",NA,NA,NA,NA,NA,0,0,0,15.79,11.33,211,97,0.0454995722731399,0.00700000000000001,-9,-1,"Y"
"21","Georgetown","VCU",4.02,0.899999999999991,-3,-1.2,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-18,"Y"
"22","Purdue","St. Peter's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,22,"X"
"23","Texas A&M","Florida State",NA,NA,NA,NA,NA,1,-2,0.0509999999999999,-0.860000000000001,-0.51,-94,-100,0.00862736934623998,0.015,-3,-7,"Y"
"24","Notre Dame","Akron",18.69,16.9,-1.89999999999999,-3.09999999999999,0.03,4,-6,0.155,16.02,9.45,34,-138,0.0814000005695998,0.0449999999999999,-13,13,"X"
"25","Duke","Hampton",31.88,25,-6.8,2.3,-0.09,8,-4,0.138,29.71,17.09,796,324,0.18885619846718,0.077,-15,42,"X"
"26","Michigan","Tennessee",5.25,4.89999999999999,-0.299999999999997,-5.09999999999999,-0.001,2,-1,0.0409999999999999,3.13,1.95,-48,-109,0.0296286737117801,0.032,-1,30,"X"
"27","Arizona","Memphis",12.46,13,0.5,-2.3,-0.052,5,-2,0.0750000000000001,9.63,4.85,381,188,0.0707850457597701,0.0449999999999999,-7,2,"X"
"28","Texas","Oakland",12.44,-3.40000000000001,-15.8,-5.3,-0.08,3,-2,0.0640000000000001,12.54,7.86,-291,-452,0.0946134858858998,-0.0569999999999999,-9,4,"X"
"29","Cincinnati","Missouri",3.81,-2.5,-6.3,-8.3,0.054,3,-2,0.0669999999999999,0.640000000000001,-0.4,-336,-349,0.02773786719324,-0.026,-5,15,"X"
"30","UConn","Bucknell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,29,"X"
"31","Temple","Penn State",NA,NA,NA,NA,NA,7,-7,0.206,0.369999999999999,-7.22,256,-2,0.12147689887378,-0.002,-3,2,"X"
"32","San Diego State","Northern Colorado",NA,NA,NA,NA,NA,13,-8,0.263,16.57,8.6,373,87,0.12704284203409,-0.012,-13,18,"X"
