,team_X,team_Y,AdjT_x,AdjT_y,AdjT_x-y,W_x,W_y,W_x-y,PT_Ratio_x,PT_Ratio_y,PT_Ratio_x-y
1,Villanova,Mt St.Mary's/New Orleans,63.8,66.6,-2.8,31,19,12,1.237002342,0.996140652,0.24086169
2,Wisconsin,Virginia Tech,63.1,68.1,-5,25,22,3,1.184928111,1.065098698,0.119829413
3,Virginia,UNC Wilmington,58.6,69.9,-11.3,22,29,-7,1.197191011,1.136577708,0.060613303
4,Florida,East Tenn,68.6,69.8,-1.2,24,27,-3,1.176056338,1.152247668,0.023808671
5,SMU,Providence/USC,63.3,66.1,-2.8,29,20,9,1.245197169,1.054409006,0.190788163
6,Baylor,New Mexico St.,62.8,67.3,-4.5,25,28,-3,1.159441953,1.173952231,-0.014510278
7,South Carolina,Marquette,67.9,69.7,-1.8,22,19,3,1.117789627,1.100215054,0.017574573
8,Duke,Troy,67.7,67.8,-0.1,27,21,6,1.15507365,1.094182825,0.060890824
9,Gonzaga,South Dakota St.,69.8,66.8,3,32,18,14,1.383052527,1.056883759,0.326168768
10,Northwestern,Vanderbilt,64.9,65.3,-0.4,23,19,4,1.092676311,1.045748813,0.046927498
11,Notre Dame,Princeton,66.9,62.9,4,25,22,3,1.127496813,1.171693735,-0.044196923
12,West Virginia,Bucknell,69.6,69.4,0.2,26,26,0,1.235920177,1.130567686,0.105352492
13,Maryland,Xavier,66.8,66.9,-0.1,24,21,3,1.093548387,1.045754328,0.047794059
14,Florida St.,FGCU,70.5,64.9,5.6,25,26,-1,1.156887755,1.154625551,0.002262204
15,St. Mary's,VCU,59.1,67.9,-8.8,28,26,2,1.274336283,1.131627057,0.142709227
16,Arizona,North Dakota,65.5,71,-5.5,30,22,8,1.165393258,1.105892778,0.05950048
17,Kansas,NC Central/UC Davis,70,66.1,3.9,28,25,3,1.142918826,1.18499044,-0.042071614
18,Miami,Michigan St.,62.8,66.5,-3.7,21,19,2,1.089303238,1.049202128,0.040101111
19,Iowa St.,Nevada,67.9,69.4,-1.5,23,28,-5,1.123316498,1.127280265,-0.003963767
20,Purdue,Vermont,68.7,64.1,4.6,25,29,-4,1.193113076,1.194364852,-0.001251776
21,Creighton,Rhode Island,70.6,65.9,4.7,25,23,2,1.132657201,1.131376323,0.001280877
22,Oregon,Iona,66.5,70.3,-3.8,29,22,7,1.220262325,1.065005839,0.155256486
23,Michigan,Oklahoma St.,62.6,70,-7.4,23,20,3,1.138069705,1.096115338,0.041954367
24,Louisville,Jacksonville St.,67.7,63.3,4.4,24,20,4,1.17750356,1.030869565,0.146633994
25,North Carolina,Texas Southern,70.4,68.2,2.2,27,23,4,1.20241566,1.036050799,0.166364861
26,Arkansas,Seton Hall,69.1,67,2.1,25,21,4,1.087921118,1.044523598,0.04339752
27,Minnesota,Middle Tennessee,69.1,64,5.1,24,30,-6,1.089473684,1.184858337,-0.095384653
28,Butler,Winthrop,65.1,70.7,-5.6,23,26,-3,1.115566038,1.135796972,-0.020230935
29,Cincinnati,Kansas St./Wake Fst,63.5,65.9,-2.4,29,20,9,1.23985979,1.071525577,0.168334213
30,UCLA,Kent St.,72.9,68,4.9,29,22,7,1.199517297,1.063611221,0.135906076
31,Dayton,Wichita St.,68.3,68.4,-0.1,24,30,-6,1.149369544,1.31417805,-0.164808506
32,Kentucky,Northern Kentucky,72.5,67.6,4.9,28,24,4,1.198818067,1.06630972,0.132508347
