"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Air Force",16,14,0.533,0.44,0.19,1760,1715,1.02623906705539,NA,0.563
"2","Akron",24,11,0.686,6.24,0.33,2479,2233,1.11016569637259,NA,0.554
"3","Alabama A&M",14,15,0.483,-16.14,-12.97,1910,1952,0.978483606557377,NA,0.484
"4","Alabama-Birmingham",23,11,0.676,8.35,2.09,2501,2288,1.09309440559441,NA,0.556
"5","Alabama State",20,11,0.645,-7.73,-12.7,2202,2016,1.0922619047619,NA,0.533
"6","Alabama",17,16,0.515,8.12,5.7,2484,2404,1.03327787021631,NA,0.533
"7","Albany (NY)",15,15,0.5,-4.05,-5.92,2048,1992,1.0281124497992,NA,0.53
"8","Alcorn State",7,24,0.226,-23.12,-11.47,2100,2445,0.858895705521472,NA,0.502
"9","American",21,12,0.636,-1.87,-4,2140,2049,1.04441190824793,NA,0.564
"10","Appalachian State",18,13,0.581,-0.71,-2.77,2214,2147,1.03120633442012,NA,0.573
"11","Arizona State",21,13,0.618,10.31,6.28,2271,2106,1.07834757834758,NA,0.576
"12","Arizona",19,15,0.559,14.55,10.22,2443,2276,1.07337434094903,NA,0.58
"13","Arkansas-Little Rock",20,11,0.645,-3.26,-4.26,2024,1920,1.05416666666667,NA,0.52
"14","Arkansas-Pine Bluff",13,18,0.419,-17.8,-12.56,1869,1999,0.934967483741871,NA,0.473
"15","Arkansas State",10,20,0.333,-7.75,-2.02,2118,2185,0.969336384439359,NA,0.549
"16","Arkansas",23,12,0.657,12.48,6.73,2593,2392,1.08403010033445,NA,0.549
"17","Army",14,16,0.467,-8.62,-5.04,1770,1862,0.950590762620838,NA,0.509
"18","Auburn",14,16,0.467,2.31,4.7,2141,2183,0.980760421438387,NA,0.548
"19","Austin Peay",24,11,0.686,-2.21,-5.24,2590,2477,1.04561970125151,NA,0.558
"20","Ball State",6,24,0.2,-5.61,0.5,1733,1918,0.903545359749739,NA,0.476
"21","Baylor",21,11,0.656,11.46,5.75,2601,2396,1.0855592654424,NA,0.561
"22","Belmont",25,9,0.735,-0.12,-3.44,2714,2497,1.08690428514217,NA,0.564
"23","Bethune-Cookman",11,21,0.344,-15.97,-10.89,1862,1976,0.942307692307692,NA,0.522
"24","Binghamton",14,16,0.467,-6.84,-6,1976,2001,0.987506246876562,NA,0.523
"25","Boise State",25,9,0.735,1.6,-2.07,2767,2567,1.07791195948578,NA,0.596
