"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Kentucky","32-4","+28.50","112.8","84.3","70.4","+.051"
"2","Kansas","30-8","+28.09","111.8","83.7","75.0","-.017"
"3","Pittsburgh","28-5","+27.82","110.7","82.9","68.5","-.022"
"4","Arizona","28-4","+26.35","112.3","85.9","75.8","-.006"
"5","Illinois","25-7","+23.92","109.8","85.8","70.2","-.029"
"6","Duke","26-7","+23.32","111.9","88.6","73.4","-.030"
"7","Texas","26-7","+23.09","115.8","92.7","72.3","-.009"
"8","Syracuse","30-5","+22.74","111.1","88.4","74.1","+.083"
"9","Oklahoma","27-7","+22.52","108.5","85.9","65.6","+.034"
"10","Louisville","25-7","+22.31","112.6","90.3","74.3","-.028"
"11","Florida","25-8","+21.75","112.7","90.9","68.1","+.009"
"12","Wisconsin","24-8","+21.65","110.8","89.2","65.0","-.024"
"13","Maryland","21-10","+21.63","107.5","85.8","74.2","-.078"
"14","Mississippi St.","21-10","+21.08","104.2","83.1","67.4","-.060"
"15","Marquette","27-6","+20.84","116.5","95.6","69.2","+.070"
"16","Georgia","19-8","+20.45","116.1","95.7","71.1","+.012"
"17","Saint Joseph's","23-7","+20.42","105.5","85.1","67.4","-.050"
"18","Michigan St.","22-13","+19.89","106.7","86.8","67.0","-.050"
"19","Notre Dame","24-10","+19.84","112.6","92.8","73.0","+.009"
"20","Xavier","26-6","+19.54","110.5","91.0","70.7","+.018"
"21","Wake Forest","25-6","+19.47","111.4","91.9","70.5","+.073"
"22","Connecticut","23-10","+19.04","107.7","88.6","74.6","+.004"
"23","LSU","21-11","+17.83","108.0","90.2","69.8","-.034"
"24","Oklahoma St.","22-10","+17.33","102.3","84.9","70.0","+.003"
"25","BYU","23-9","+17.32","105.8","88.5","68.5","-.031"
"26","Creighton","29-5","+17.25","109.3","92.0","71.2","+.025"
"27","Purdue","19-11","+17.21","103.8","86.6","71.9","-.013"
"28","Missouri","22-11","+17.03","108.5","91.5","69.9","+.044"
"29","Memphis","23-7","+16.42","107.6","91.1","71.5","+.006"
"30","Arizona St.","20-12","+16.17","110.4","94.2","70.5","-.014"
"31","Butler","27-6","+15.75","112.2","96.4","61.5","+.073"
"32","Texas Tech","21-13","+15.54","105.8","90.3","69.4","-.026"
"33","Gonzaga","24-9","+15.30","110.0","94.7","70.0","-.021"
"34","Colorado","20-12","+15.10","106.0","90.9","72.9","+.001"
"35","Georgetown","19-15","+14.55","103.3","88.7","74.1","-.101"
"36","Cincinnati","17-12","+14.43","101.8","87.4","69.1","-.069"
"37","Stanford","24-9","+14.39","106.6","92.2","69.3","+.066"
"38","Alabama","17-12","+14.39","106.2","91.8","68.3","-.016"
