"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Gonzaga",32.52,120.9,88.4,70.3,0.015
"2","Villanova",30.14,123,92.8,64.8,0.014
"3","West Virginia",27.86,118.2,90.3,71.2,-0.05
"4","North Carolina",27.8,121.5,93.7,71.2,0.011
"5","Virginia",27.78,113.5,85.7,59.4,-0.053
"6","Florida",27.59,116.7,89.1,69.3,-0.026
"7","Kentucky",27.18,119.2,92,73.5,-0.001
"8","Louisville",27.03,117.3,90.3,68.4,0.004
"9","Kansas",26.38,120.9,94.6,70.4,0.088
"10","Wichita St.",25.62,119.5,93.9,69.5,-0.015
"11","Baylor",25.44,116.7,91.3,63.7,0.01
"12","UCLA",24.47,124.9,100.4,73.7,0.016
"13","Purdue",24.35,117.6,93.2,69.6,-0.018
"14","Saint Mary's",24.12,119.2,95,59.7,0.041
"15","SMU",24.1,118.4,94.3,63.7,0.011
"16","Duke",24,120,96,68.1,0.013
"17","Oregon",23.45,117.1,93.7,66.9,0.056
"18","Oklahoma St.",22.91,125,102,70.7,-0.035
"19","Florida St.",22.91,117.7,94.8,71.6,0.027
"20","Butler",22.3,119.1,96.8,66.2,0.021
"21","Cincinnati",21.65,112.9,91.3,64.3,0.028
"22","Arizona",21.43,116.6,95.2,65.6,0.06
"23","Iowa St.",21.2,118.1,96.9,68.8,-0.024
"24","Wisconsin",20.95,113.4,92.5,64,-0.003
"25","Notre Dame",20.04,118.4,98.3,67.8,0.023
"26","Creighton",19.88,116.7,96.9,71.1,0.008
"27","Michigan",19.14,119.9,100.7,63,-0.054
"28","South Carolina",18.17,105.8,87.6,68.9,0.015
"29","Miami FL",17.78,111.2,93.4,64.2,0.025
"30","Marquette",17.58,120.6,103,70.3,-0.06
"31","Wake Forest",17.47,120,102.5,71.1,-0.042
"32","Minnesota",17.19,109.7,92.5,70.1,0.015
"33","Dayton",17.06,112.3,95.3,69,0.011
"34","Kansas St.",16.59,111.9,95.3,67.2,-0.032
"35","Northwestern",15.84,110.6,94.8,65.9,0.008
"36","Maryland",15.66,114.2,98.5,67.9,0.065
"37","Clemson",15.65,116.5,100.9,66.9,-0.056
"38","Texas Tech",15.61,113.5,97.9,64.4,-0.075
"39","Arkansas",15.52,117.8,102.3,69.8,0.086
"40","Utah",14.98,113.5,98.5,69.5,-0.082
"41","Virginia Tech",14.89,116.9,102,69,0.087
"42","Vanderbilt",14.86,113.1,98.2,66,-0.049
"43","TCU",14.82,112.2,97.4,67.5,-0.036
"44","Houston",14.82,114.4,99.6,65.5,-0.007
"45","Illinois St.",14.62,107,92.4,65.5,0.096
"46","Xavier",14.55,114.8,100.3,68.2,0.029
"47","Indiana",14.53,116.5,101.9,68.8,-0.083
"48","VCU",14.42,110.4,96,69.1,0.039
"49","Rhode Island",14.4,109.6,95.2,67.1,-0.043
"50","Michigan St.",14.11,110.5,96.4,68.1,0.019
"51","Syracuse",13.88,115.5,101.6,67.1,-0.032
"52","Middle Tennessee",13.4,110.4,97,64.4,0.013
"53","Providence",13.37,109,95.6,66.7,0.034
"54","California",13.21,105,91.8,65.8,-0.002
"55","Georgia",12.86,109.8,97,67.7,0.012
"56","Texas A&M",12.24,109.4,97.1,65.2,-0.054
"57","Seton Hall",12.15,109.4,97.2,68.2,0.075
"58","Tennessee",12.13,110.4,98.3,70,-0.039
"59","Nevada",11.99,113.6,101.6,69.8,0.057
"60","Oklahoma",11.78,107.1,95.4,70.7,-0.123
"61","USC",11.76,113.1,101.3,69.9,0.092
"62","UNC Wilmington",11.71,116.7,105,70.7,0.05
"63","Alabama",11.65,103.7,92.1,65.7,-0.041
"64","Vermont",11.49,111.2,99.8,65.3,0.055
"65","Princeton",11.49,108.7,97.2,64,0.02
"66","East Tennessee St.",11.36,107.4,96,70.7,-0.016
"67","Illinois",11.31,108.2,96.9,66.7,0.038
"68","Iowa",11.29,112.2,100.9,71.7,0.014
"69","Ohio St.",11.28,112.1,100.9,68.5,-0.048
"70","Georgetown",11.14,108.7,97.6,69.3,-0.089
"71","UT Arlington",10.78,110.5,99.7,70.5,0.058
"72","BYU",10.55,108.9,98.3,76.2,-0.029
"73","Colorado",9.87,112.4,102.6,68.3,-0.053
"74","UCF",9.75,102.7,92.9,66.4,0.008
"75","Pittsburgh",9.74,112.9,103.1,65.9,0.036
"76","Texas",9.62,104.2,94.6,68.3,-0.112
"77","Georgia Tech",9.41,99.5,90.1,68.3,0.058
"78","Monmouth",9.17,108.7,99.6,72.9,0.097
"79","Auburn",8.78,111.2,102.4,74.4,0.056
"80","Bucknell",8.76,109.3,100.5,70.3,0.011
"81","Mississippi",8.56,109.7,101.1,72.1,0.066
"82","Penn St.",8.47,104.7,96.2,71.5,-0.024
"83","San Diego St.",8.42,104.1,95.7,65.3,-0.095
"84","Memphis",8.4,107.8,99.4,68.9,-0.028
"85","College of Charleston",7.94,106,98.1,64.8,0.064
"86","Davidson",7.69,108.2,100.5,69.2,-0.051
"87","Louisiana Tech",7.68,107.9,100.3,69.4,-0.07
